Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2022 FY,2022-12-31,-69632.0,-19975.0,-89607.0,,
2023 FY,2023-12-31,362.0,-10976.0,-10614.0,505988.0,-0.020976782058072522
2024 FY,2024-12-31,,-10330.0,,543676.0,
