Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2023 FY,2023-04-30,35662.0,-2684.0,32978.0,1068989.0,0.030849709398319346
2024 FY,2024-04-30,148762.0,-3450.0,145312.0,1267321.0,0.11466076866082074
2025 FY,2025-04-30,266168.0,-4345.0,261823.0,1483296.0,0.17651433024831187
