Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2022 FY,2022-03-31,1024000.0,-443000.0,581000.0,,
2023 FY,2023-03-31,950000.0,-635000.0,315000.0,,
2024 FY,2024-03-31,1326000.0,-530000.0,796000.0,26415000.0,0.03013439333711906
2025 FY,2025-03-31,1505000.0,-438000.0,1067000.0,25813000.0,0.0413357610506334
