Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2023 FY,2023-02-05,767234.0,-158139.0,609095.0,,
2024 FY,2024-02-04,677722.0,-195161.0,482561.0,2830621.0,0.17047884545476064
2025 FY,2025-02-02,753598.0,-226727.0,526871.0,3168164.0,0.16630168135235424
