Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2022 FY,2022-12-31,211100.0,-109000.0,102100.0,,
2023 FY,2023-12-31,326200.0,-125100.0,201100.0,7961000.0,0.025260645647531717
2024 FY,2024-12-31,473900.0,-170900.0,303000.0,9646000.0,0.031411984242172925
2025 FY,2025-12-31,659500.0,,,12390900.0,
