Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2022 FY,2022-12-31,123595.0,-143606.0,-20011.0,,
2023 FY,2023-12-31,254406.0,-114396.0,140010.0,1296745.0,0.10797034112335116
2024 FY,2024-12-31,380429.0,-185037.0,195392.0,1669626.0,0.11702740613766197
