Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2022 FY,2022-11-30,-49604.0,-117049.0,-166653.0,,
2023 FY,2023-11-30,1407373.0,-150007.0,1257366.0,57555416.0,0.02184618038378873
2024 FY,2024-11-30,1217724.0,-175112.0,1042612.0,58452436.0,0.017836929841555278
2025 FY,2025-11-30,1531704.0,-142282.0,1389422.0,62508086.0,0.022227876246282762
