Quarter,Date,Operating_Cash_Flow,CapEx,Free_Cash_Flow,Annual_Revenue,FCF_Margin
2023 FY,2023-01-31,941007.0,-235019.0,705988.0,,
2024 FY,2024-01-31,1166207.0,-176529.0,989678.0,3055555.0,0.32389467707175945
2025 FY,2025-01-31,1381727.0,-254852.0,1126875.0,3953624.0,0.2850233102591445
